SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,IndustryId,End of financial year (month),Number Employees
111052,2020-10-07,114.62,115.55,114.13,115.08,112.22,96848985,0.0,16976763000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-08,116.25,116.4,114.59,114.97,112.11,83477153,0.0,16976763000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-09,115.28,117.0,114.92,116.97,114.06,100506865,0.0,16976763000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-12,120.06,125.18,119.28,124.4,121.31,240226769,0.0,16976763000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-13,125.27,125.39,119.65,121.1,118.09,262330451,0.0,16976763000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-14,121.0,123.03,119.62,121.19,118.18,151062308,0.0,16976763000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-15,118.72,121.2,118.15,120.71,117.71,112559219,0.0,16976763000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-16,121.28,121.55,118.81,119.02,116.06,115393808,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-19,119.96,120.42,115.66,115.98,113.1,120639337,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-20,116.2,118.98,115.63,117.51,114.59,124423728,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-21,116.67,118.7,116.45,116.87,113.96,89945980,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-22,117.45,118.04,114.59,115.75,112.87,101987954,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-23,116.39,116.55,114.28,115.04,112.18,82572645,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-26,114.01,116.55,112.88,115.05,112.19,111850657,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-27,115.49,117.28,114.54,116.6,113.7,92276772,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-28,115.05,115.43,111.1,111.2,108.43,143937823,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-29,112.37,116.93,112.2,115.32,112.45,146129173,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
111052,2020-10-30,111.06,111.99,107.72,108.86,106.15,190573476,0.0,17001802000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,-18752000000.0,66288000000.0,803000000.0,67091000000.0,67091000000.0,-9680000000.0,57411000000.0,57411000000.0,57411000000.0,90943000000.0,37437968608.0,4061000000.0,143713000000.0,45397188029.0,100887000000.0,42522000000.0,180175000000.0,323888000000.0,42296000000.0,15231124701.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000.0,323888000000.0,USD,2020.0,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,57411000000.0,11056000000.0,6517000000.0,5690000000.0,80674000000.0,-7309000000.0,5453000000.0,-4289000000.0,-14081000000.0,2499000000.0,-72358000000.0,-86820000000.0,-10435000000.0,101001.0,9.0,147000.0
